City,Month,Max Temp,Min Temp,Rainfall,Humidity,PH
Dinajpur,8,32,27,296.2,84,5.5
Dinajpur,9,32,26,321.5,84,5.5
Dinajpur,10,31,23,98.5,82,5.5
Dinajpur,11,29,18,7.3,79,5.5
Dinajpur,12,25,13,0,82,5.5
Rangpur,1,22,12,7.2,82,5.9
Rangpur,2,26,15,17,72,5.9
Rangpur,3,31,19,7.6,65,5.9
Rangpur,4,32,22,93.4,73,5.9
Rangpur,5,32,24,225.4,78,5.9
Rangpur,6,32,26,456.7,83,5.9
Rangpur,7,33,27,264.9,82,5.9
Rangpur,8,32,27,296.2,84,5.9
Rangpur,9,32,26,321.5,84,5.9
Rangpur,10,31,23,98.5,82,5.9
Rangpur,11,29,18,7.3,79,5.9
Rangpur,12,25,13,0,82,5.9
Bogra,1,23,13,5.2,77,5.5
Bogra,2,27,16,12.6,67,5.5
Bogra,3,32,20,6,62,5.5
Bogra,4,33,23,77.9,70,5.5
Bogra,5,34,25,140.6,75,5.5
Bogra,6,33,27,314.8,81,5.5
Bogra,7,33,27,192,82,5.5
Bogra,8,33,27,258.1,84,5.5
Bogra,9,33,26,191.8,83,5.5
Bogra,10,32,24,92.1,80,5.5
Bogra,11,30,19,3.1,74,5.5
Bogra,12,25,14,1.6,78,5.5
Nilphamari,1,22,12,7.2,82,6
Nilphamari,2,26,15,17,72,6
Nilphamari,3,31,19,7.6,65,6
Nilphamari,4,32,22,93.4,73,6
Nilphamari,5,32,24,224.4,78,6
Nilphamari,6,32,26,456.7,83,6
Nilphamari,7,33,27,264.9,82,6
Nilphamari,8,32,27,296.2,84,6
Nilphamari,9,32,26,321.5,84,6
Nilphamari,10,31,23,98.5,82,6
Nilphamari,11,29,18,7.3,79,6
Nilphamari,12,25,13,0,82,6
Kurigram,1,22,12,7.2,82,6
Kurigram,2,26,15,17,72,6
Kurigram,3,31,19,7.6,65,6
Kurigram,4,32,22,93.4,73,6
Kurigram,5,32,24,224.4,78,6
Kurigram,6,32,26,456.7,83,6
Kurigram,7,33,27,264.9,82,6
Kurigram,8,32,27,296.2,84,6
Kurigram,9,32,26,321.5,84,6
Kurigram,10,31,23,98.5,82,6
Kurigram,11,29,18,7.3,79,6
Kurigram,12,25,13,0,82,6
Comilla,1,25,11,6,78,5
Comilla,2,29,14,7,70,5
Comilla,3,33,19,21.6,66,5
Comilla,4,34,23,117.4,72,5
Comilla,5,34,24,208.8,78,5
Comilla,6,33,25,213.8,84,5
Comilla,7,32,26,204.9,84,5
Comilla,8,32,26,205.3,85,5
Comilla,9,33,25,139.8,85,5
Comilla,10,32,23,98.5,83,5
Comilla,11,30,18,6.9,78,5
Comilla,12,26,13,6,80,5
Jessore,1,30,15,19.6,65,6.9
Jessore,2,33,15,2.1,54,6.9
Jessore,3,37,18,17,46,6.9
Jessore,4,39,24,61.2,47,6.9
Jessore,5,36,24,166.6,64,6.9
Jessore,6,34,24,176.7,72,6.9
Jessore,7,32,24,251.3,76,6.9
Jessore,8,32,24,234.2,77,6.9
Jessore,9,33,24,153.5,75,6.9
Jessore,10,33,22,115,74,6.9
Jessore,11,31,19,38.7,71,6.9
Jessore,12,29,16,8.4,70,6.9
Mumbai,1,31,18,0,58,5
Mumbai,2,32,19,0,58,5
Mumbai,3,33,22,0,62,5
Mumbai,4,33,25,0,68,5
Mumbai,5,34,27,0.6,69,5
Mumbai,6,32,27,281.4,77,5
Mumbai,7,31,26,495.1,83,5
Mumbai,8,30,26,311.5,83,5
Mumbai,9,31,25,173,81,5
Mumbai,10,34,24,26.5,69,5
Mumbai,11,34,22,0,59,5
Mumbai,12,33,19,0,57,5
Pune,1,30,12,0.1,58,5
Pune,2,32,13,0.1,48,5
Pune,3,36,16,4.8,40,5
Pune,4,38,20,4.2,38,5
Pune,5,37,23,11.9,50,5
Pune,6,32,23,154.1,72,5
Pune,7,28,22,193.6,82,5
Pune,8,28,22,163.1,83,5
Pune,9,30,21,158.4,80,5
Pune,10,32,19,96.4,69,5
Pune,11,31,16,24.1,65,5
Pune,12,30,13,3.9,64,5
Nagpur,1,30,13,2.8,56,5
Nagpur,2,33,16,3.9,45,5
Nagpur,3,37,19,23.2,38,5
Nagpur,4,41,23,15.2,32,5
Nagpur,5,44,27,24.2,31,5
Nagpur,6,38,26,133.6,60,5
Nagpur,7,32,24,232.4,84,5
Nagpur,8,31,24,211.9,86,5
Nagpur,9,33,23,145.4,80,5
Nagpur,10,34,20,38.7,66,5
Nagpur,11,32,17,18.6,62,5
Nagpur,12,30,13,0.5,57,5
Nashik,1,31,17,0,53,5
Nashik,2,32,18,0,53,5
Nashik,3,34,21,1.5,57,5
Nashik,4,34,24,0.1,65,5
Nashik,5,34,27,5.1,70,5
Nashik,6,33,26,235,79,5
Nashik,7,30,25,386.7,85,5
Nashik,8,30,25,255.9,84,5
Nashik,9,31,25,230.9,81,5
Nashik,10,34,24,56.5,65,5
Nashik,11,34,22,18.9,56,5
Nashik,12,33,19,0.4,53,5
Thane,1,31,18,0,58,5
Thane,2,32,19,0,58,5
Thane,3,33,22,0,62,5
Thane,4,33,25,0,68,5
Thane,5,34,27,0.6,69,5
Thane,6,32,27,281.4,77,5
Thane,7,31,26,495.1,83,5
Thane,8,30,26,311.5,83,5
Thane,9,31,25,173,81,5
Thane,10,34,24,26.5,69,5
Thane,11,34,22,0,59,5
Thane,12,33,19,0,57,5
Aurangabad,1,29,14,0.2,56,5
Aurangabad,2,32,16,0.8,48,5
Aurangabad,3,35,20,11.9,40,5
Aurangabad,4,39,24,6.1,36,5
Aurangabad,5,40,26,11.3,41,5
Aurangabad,6,34,24,88.1,66,5
Aurangabad,7,30,23,120.5,80,5
Aurangabad,8,29,22,129.1,81,5
Aurangabad,9,30,22,115.9,79,5
Aurangabad,10,32,20,41.3,63,5
Aurangabad,11,31,17,29.7,63,5
Aurangabad,12,29,14,0.5,59,5
Solapur,1,30,12,0.1,58,5
Solapur,2,32,13,0.1,48,5
Solapur,3,36,16,4.8,40,5
Solapur,4,38,20,4.2,28,5
Solapur,5,37,23,11.9,50,5
Solapur,6,32,23,154.1,72,5
Solapur,7,28,22,193.6,82,5
Solapur,8,28,22,163.1,83,5
Solapur,9,30,21,158.4,80,5
Solapur,10,32,19,96.4,69,5
Solapur,11,31,16,24.1,65,5
Solapur,12,30,13,3.9,64,5
Dhule,1,29,14,0.2,56,5
Dhule,2,32,16,0.8,48,5
Dhule,3,35,20,11.9,40,5
Dhule,4,39,24,6.1,36,5
Dhule,5,40,26,11.3,41,5
Dhule,6,34,24,88.1,66,5
Dhule,7,30,23,120.5,80,5
Dhule,8,29,22,129.1,81,5
Dhule,9,30,22,115.9,79,5
Dhule,10,32,20,41.3,60,5
Dhule,11,31,17,29.7,63,5
Dhule,12,29,14,0.5,59,5
Amravati,1,31,14,9.4,49,5
Amravati,2,34,17,3.6,40,5
Amravati,3,38,20,14.4,35,5
Amravati,4,41,25,11.8,29,5
Amravati,5,43,28,11.1,29,5
Amravati,6,37,26,116.1,56,5
Amravati,7,32,25,169.7,76,5
Amravati,8,31,24,98,80,5
Amravati,9,33,24,98.9,77,5
Amravati,10,35,21,20.1,60,5
Amravati,11,33,18,9,57,5
Amravati,12,32,14,2.5,53,5
Latur,1,32,16,4.4,48,5
Latur,2,35,19,0.7,44,5
Latur,3,38,22,7.1,39,5
Latur,4,40,25,11.5,37,5
Latur,5,40,26,19.9,42,5
Latur,6,35,24,62.2,63,5
Latur,7,32,23,113.7,70,5
Latur,8,32,23,101,71,5
Latur,9,32,23,103.8,72,5
Latur,10,33,21,59.5,60,5
Latur,11,32,19,13.3,56,5
Latur,12,32,16,2.3,50,5
Kolhapur,1,32,18,0,59,5
Kolhapur,2,32,19,0,62,5
Kolhapur,3,33,22,1.6,68,5
Kolhapur,4,33,24,0.6,72,5
Kolhapur,5,34,26,32.3,72,5
Kolhapur,6,31,25,756.4,85,5
Kolhapur,7,29,24,969.2,89,5
Kolhapur,8,29,24,629.5,89,5
Kolhapur,9,30,24,462.2,87,5
Kolhapur,10,33,23,150.4,76,5
Kolhapur,11,34,22,32.9,65,5
Kolhapur,12,33,20,1,59,5
Nanded,1,29,14,0.2,56,5
Nanded,2,32,16,0.8,48,5
Nanded,3,35,20,11.9,40,5
Nanded,4,39,24,6.1,36,5
Nanded,5,40,26,11.3,41,5
Nanded,6,34,24,88.1,66,5
Nanded,7,30,23,120.5,80,5
Nanded,8,29,22,129.1,81,5
Nanded,9,30,22,115.9,79,5
Nanded,10,32,20,41.3,63,5
Nanded,11,31,17,29.7,63,5
Nanded,12,29,14,0.5,59,5
Sangli,1,30,13,4.7,51,5
Sangli,2,33,15,3.4,46,5
Sangli,3,35,18,18.4,48,5
Sangli,4,36,20,51.8,54,5
Sangli,5,35,21,73.3,65,5
Sangli,6,29,21,146.4,82,5
Sangli,7,27,20,204,88,5
Sangli,8,27,20,156.8,88,5
Sangli,9,29,19,133.2,85,5
Sangli,10,30,19,68.5,73,5
Sangli,11,30,17,44.5,66,5
Sangli,12,29,14,2.1,59,5
Akola,1,31,14,9.4,49,5
Akola,2,34,17,3.6,40,5
Akola,3,38,20,14.4,35,5
Akola,4,41,25,11.8,29,5
Akola,5,43,28,11.1,29,5
Akola,6,37,26,116.1,56,5
Akola,7,32,25,169.7,76,5
Akola,8,31,24,98,80,5
Akola,9,33,24,98.9,77,5
Akola,10,35,21,20.1,60,5
Akola,11,33,18,9,57,5
Akola,12,32,14,2.4,53,5
Jalgaon,1,29,14,0.2,56,5
Jalgaon,2,32,16,0.8,48,5
Jalgaon,3,35,20,11.9,40,5
Jalgaon,4,39,24,6.1,36,5
Jalgaon,5,40,26,11.3,41,5
Jalgaon,6,34,24,88.1,66,5
Jalgaon,7,30,23,120.5,80,5
Jalgaon,8,29,22,129.1,81,5
Jalgaon,9,30,22,115.9,79,5
Jalgaon,10,32,20,41.3,63,5
Jalgaon,11,31,17,29.7,63,5
Jalgaon,12,29,14,0.5,59,5
Ahmednagar,1,29,14,0.2,56,5
Ahmednagar,2,32,16,0.8,48,5
Ahmednagar,3,35,20,11.9,40,5
Ahmednagar,4,39,24,6.1,36,5
Ahmednagar,5,40,26,11.3,41,5
Ahmednagar,6,34,24,88.1,66,5
Ahmednagar,7,30,23,120.5,80,5
Ahmednagar,8,29,22,129.1,81,5
Ahmednagar,9,30,22,115.9,79,5
Ahmednagar,10,32,20,41.3,63,5
Ahmednagar,11,31,17,29.7,63,5
Ahmednagar,12,29,14,0.5,59,5
Chandrapur,1,30,13,2.8,56,5
Chandrapur,2,33,16,3.9,45,5
Chandrapur,3,37,19,23.2,38,5
Chandrapur,4,41,23,25.2,32,5
Chandrapur,5,44,27,24.2,31,5
Chandrapur,6,38,26,133.6,60,5
Chandrapur,7,32,24,232.4,84,5
Chandrapur,8,31,24,211.9,86,5
Chandrapur,9,33,23,145.4,80,5
Chandrapur,10,34,20,38.7,66,5
Chandrapur,11,32,17,18.6,62,5
Chandrapur,12,30,13,0.5,57,5
Parbhani,1,29,14,0.2,56,5
Parbhani,2,32,16,0.8,48,5
Parbhani,3,35,20,11.9,40,5
Parbhani,4,39,24,6.1,36,5
Parbhani,5,40,26,11.3,41,5
Parbhani,6,34,24,88.1,66,5
Parbhani,7,30,23,120.5,80,5
Parbhani,8,29,22,129.1,81,5
Parbhani,9,30,22,115.9,79,5
Parbhani,10,32,20,41.3,63,5
Parbhani,11,31,17,29.7,63,5
Parbhani,12,29,14,0.5,59,5
Jalna,1,29,14,0.2,56,5
Jalna,2,32,16,0.8,48,5
Jalna,3,35,20,11.9,40,5
Jalna,4,39,24,6.1,36,5
Jalna,5,40,26,11.3,41,5
Jalna,6,34,24,88.1,66,5
Jalna,7,30,23,120.5,80,5
Jalna,8,29,22,129.1,81,5
Jalna,9,30,22,115.9,79,5
Jalna,10,32,20,41.3,63,5
Jalna,11,31,17,29.7,63,5
Jalna,12,29,14,0.5,59,5
Bhusawal,1,29,14,0.2,56,5
Bhusawal,2,32,16,0.8,48,5
Bhusawal,3,35,20,11.9,40,5
Bhusawal,4,39,24,6.1,36,5
Bhusawal,5,40,26,11.3,41,5
Bhusawal,6,34,24,88.1,66,5
Bhusawal,7,30,23,120.5,80,5
Bhusawal,8,29,22,129.1,81,5
Bhusawal,9,30,22,115.9,79,5
Bhusawal,10,32,20,41.3,63,5
Bhusawal,11,31,17,29.7,63,5
Bhusawal,12,29,14,0.5,59,5
NaviMumbai,1,31,18,0,58,5
NaviMumbai,2,32,19,0,58,5
NaviMumbai,3,33,22,0,62,5
NaviMumbai,4,33,25,0,68,5
NaviMumbai,5,34,27,0.6,69,5
NaviMumbai,6,32,27,281.4,77,5
NaviMumbai,7,31,26,495.5,83,5
NaviMumbai,8,30,26,311.5,83,5
NaviMumbai,9,31,25,173,81,5
NaviMumbai,10,34,24,26.5,69,5
NaviMumbai,11,34,22,0,59,5
NaviMumbai,12,33,19,0,57,5
Panvel,1,41,17,0,53,5
Panvel,2,32,18,0,53,5
Panvel,3,34,21,1.5,57,5
Panvel,4,34,24,0.1,65,5
Panvel,5,34,27,5.1,70,5
Panvel,6,33,26,235,79,5
Panvel,7,30,25,386.7,85,5
Panvel,8,30,25,255.9,84,5
Panvel,9,31,25,230.9,81,5
Panvel,10,34,24,56.5,65,5
Panvel,11,34,22,18.9,56,5
Panvel,12,33,19,0.4,53,5
Satara,1,30,12,0.1,58,5
Satara,2,32,13,0.1,48,5
Satara,3,36,16,4.8,40,5
Satara,4,38,20,4.2,38,5
Satara,5,37,23,11.9,50,5
Satara,6,32,23,154.1,72,5
Satara,7,28,22,193.6,82,5
Satara,8,28,22,163.1,83,5
Satara,9,30,21,158.4,80,5
Satara,10,32,19,96.4,69,5
Satara,11,31,16,24.1,65,5
Satara,12,30,13,3.9,64,5
Beed,1,29,14,0.2,56,5
Beed,2,32,16,0.8,48,5
Beed,3,35,20,11.9,40,5
Beed,4,39,24,6.1,36,5
Beed,5,40,26,11.3,41,5
Beed,6,34,24,88.1,66,5
Beed,7,30,23,120.5,80,5
Beed,8,29,22,129.1,81,5
Beed,9,30,22,115.9,79,5
Beed,10,32,20,41.3,63,5
Beed,11,31,17,29.7,63,5
Beed,12,29,14,0.5,59,5
Yavatmal,1,30,13,2.8,56,5
Yavatmal,2,33,16,3.9,45,5
Yavatmal,3,37,19,23.2,38,5
Yavatmal,4,31,23,15.2,32,5
Yavatmal,5,44,27,24.5,31,5
Yavatmal,6,38,26,133.6,60,5
Yavatmal,7,32,24,232.4,84,5
Yavatmal,8,31,24,211.9,86,5
Yavatmal,9,33,23,145.4,80,5
Yavatmal,10,34,20,38.7,66,5
Yavatmal,11,32,17,18.6,62,5
Yavatmal,12,30,13,0.5,57,5
Gondia,1,30,13,2.8,56,5
Gondia,2,33,16,3.9,45,5
Gondia,3,37,19,23.2,38,5
Gondia,4,31,23,15.2,32,5
Gondia,5,44,27,24.5,31,5
Gondia,6,38,26,133.6,60,5
Gondia,7,32,24,232.4,84,5
Gondia,8,31,24,211.9,86,5
Gondia,9,33,23,145.4,80,5
Gondia,10,34,20,38.7,66,5
Gondia,11,32,17,18.6,62,5
Gondia,12,30,13,0.5,57,5
Osmanabad,1,32,16,4.4,48,5
Osmanabad,2,35,19,0.7,44,5
Osmanabad,3,38,22,7.1,39,5
Osmanabad,4,40,25,11.5,37,5
Osmanabad,5,40,26,19.9,42,5
Osmanabad,6,35,24,62.2,63,5
Osmanabad,7,32,23,113.7,70,5
Osmanabad,8,32,23,101,71,5
Osmanabad,9,32,23,103.8,72,5
Osmanabad,10,33,21,59.5,60,5
Osmanabad,11,32,19,13.3,56,5
Osmanabad,12,32,16,2.3,50,5
Nandurbar,1,30,15,1.6,56,5
Nandurbar,2,32,17,0.7,54,5
Nandurbar,3,35,21,0.2,51,5
Nandurbar,4,36,25,1,61,5
Nandurbar,5,35,28,0.6,71,5
Nandurbar,6,33,28,192.5,78,5
Nandurbar,7,31,26,434.5,86,5
Nandurbar,8,31,26,312,85,5
Nandurbar,9,39,26,226.1,83,5
Nandurbar,10,35,24,28.9,67,5
Nandurbar,11,34,21,4.9,59,5
Nandurbar,12,31,17,1.5,58,5
Warda,1,30,13,2.8,56,5
Warda,2,33,16,3.9,45,5
Warda,3,37,19,23.2,38,5
Warda,4,41,23,15.2,32,5
Warda,5,44,47,24.2,31,5
Warda,6,38,26,133.6,40,5
Warda,7,32,24,232.4,84,5
Warda,8,31,24,211.9,86,5
Warda,9,33,23,145.4,80,5
Warda,10,34,20,38.7,66,5
Warda,11,32,17,18.6,62,5
Warda,12,30,14,0.5,57,5
